id,label,ctype,Descripción,Fuente,Tipo de Fuente,Medida
v11_cr_001_04,numero de bibliotecas en localidad suroriente,Nu,NA,Secretaría de Cultura,NA,NA
v11_cr_001_05,numero de bibliotecas en localidad metropolitana,Nu,NA,Secretaría de Cultura,NA,NA
v11_cr_001_06,numero de bibliotecas total ciudad,Nu,NA,Secretaría de Cultura,NA,NA
v11_cr_001_100,"numero de escuelas de formacion artistica (musica, pintura, teatro, etc.) en la localidad norte centro historico",Nu,NA,Secretaría de Cultura,NA,NA
v11_cr_001_101,"numero de escuelas de formacion artistica (musica, pintura, teatro, etc.) en la localidad riomar",Nu,NA,Secretaría de Cultura,NA,NA
v11_cr_001_102,"numero de escuelas de formacion artistica (musica, pintura, teatro, etc.) en la localidad suroccidente",Nu,NA,Secretaría de Cultura,NA,NA
v11_cr_001_104,"numero de escuelas de formacion artistica (musica, pintura, teatro, etc.) en la localidad suroriente",Nu,NA,Secretaría de Cultura,NA,NA
v11_cr_001_105,"numero de escuelas de formacion artistica (musica, pintura, teatro, etc.) en la localidad metropolitana",Nu,NA,Secretaría de Cultura,NA,NA
v11_cr_001_106,"numero de escuelas de formacion artistica (musica, pintura, teatro, etc.) en total ciudad",Nu,NA,Secretaría de Cultura,NA,NA
v13_gp_004_04,transferencias per capita barranquilla ($ constantes 2012),Nu,NA,CHIP - Ministerio de Hacienda y Crédito Público,NA,NA
v13_gp_004_06,transferencias per capita bucaramanga ($ constantes 2012),Nu,NA,CHIP - Ministerio de Hacienda y Crédito Público,NA,NA
v13_gp_004_07,transferencias per capita cartagena  ($ constantes 2012),Nu,NA,CHIP - Ministerio de Hacienda y Crédito Público,NA,NA
v13_gp_004_08,transferencias per capita medellin  ($ constantes 2012),Nu,NA,CHIP - Ministerio de Hacienda y Crédito Público,NA,NA
v13_gp_005_02,transferencias (millones de $ constantes 2012),Nu,NA,CHIP - Ministerio de Hacienda y Crédito Público,NA,NA
v13_gp_005_03,ingresos de capital (millones de $ constantes 2012),Nu,NA,CHIP - Ministerio de Hacienda y Crédito Público,NA,NA
v13_gp_005_04,participacion de los ingresos tributarios en los ingresos totales,Nu,NA,CHIP - Ministerio de Hacienda y Crédito Público,NA,NA
v13_gp_005_05,participacion de los ingresos no tributarios en los ingresos totales,Nu,NA,CHIP - Ministerio de Hacienda y Crédito Público,NA,NA
v13_gp_005_06,participacion de las transferencias en los ingresos totales,Nu,NA,CHIP - Ministerio de Hacienda y Crédito Público,NA,NA
v13_gp_005_07,participacion de los ingresos de capital en los ingresos totales,Nu,NA,CHIP - Ministerio de Hacienda y Crédito Público,NA,NA
v13_gp_005_08,ingresos tributarios per capita cartagena ($ constantes 2012),Nu,NA,CHIP - Ministerio de Hacienda y Crédito Público,NA,NA
v13_gp_005_09,ingresos tributarios per capita bucaramanga  ($ constantes 2012),Nu,NA,CHIP - Ministerio de Hacienda y Crédito Público,NA,NA
v13_gp_005_10,ingresos tributarios per capita barranquilla  ($ constantes 2012),Nu,NA,CHIP - Ministerio de Hacienda y Crédito Público,NA,NA
v13_gp_005_11,ingresos tributarios per capita medellin  ($ constantes 2012),Nu,NA,CHIP - Ministerio de Hacienda y Crédito Público,NA,NA
v13_gp_005_12,ingresos tributarios per capita bogota  ($ constantes 2012),Nu,NA,CHIP - Ministerio de Hacienda y Crédito Público,NA,NA
v13_gp_005_13,ingresos no tributarios per capita cartagena ($ constantes 2012),Nu,NA,CHIP - Ministerio de Hacienda y Crédito Público,NA,NA
v13_gp_005_14,ingresos no tributarios per capita bucaramanga  ($ constantes 2012),Nu,NA,CHIP - Ministerio de Hacienda y Crédito Público,NA,NA
v13_gp_005_15,ingresos no tributarios per capita barranquilla  ($ constantes 2012),Nu,NA,CHIP - Ministerio de Hacienda y Crédito Público,NA,NA
v13_gp_005_16,ingresos no tributarios per capita medellin  ($ constantes 2012),Nu,NA,CHIP - Ministerio de Hacienda y Crédito Público,NA,NA
v13_gp_005_17,ingresos no tributarios per capita bogota ($ constantes 2012),Nu,NA,CHIP - Ministerio de Hacienda y Crédito Público,NA,NA
v13_gp_006_05,transferencias per capita bogota  ($ constantes 2012),Nu,NA,CHIP - Ministerio de Hacienda y Crédito Público,NA,NA
v13_gp_006_06,ingreso del predial per capita cartagena  ($ constantes 2012),Nu,NA,CHIP - Ministerio de Hacienda y Crédito Público,NA,NA
v13_gp_006_07,ingreso del predial per capita bucaramanga ($ constantes 2012),Nu,NA,CHIP - Ministerio de Hacienda y Crédito Público,NA,NA
v13_gp_006_08,ingreso del predial per capita barranquilla ($ constantes 2012),Nu,NA,CHIP - Ministerio de Hacienda y Crédito Público,NA,NA
v13_gp_006_09,ingreso del predial per capita medellin  ($ constantes 2012),Nu,NA,CHIP - Ministerio de Hacienda y Crédito Público,NA,NA
v13_gp_006_10,ingreso del predial per capita bogota  ($ constantes 2012),Nu,NA,CHIP - Ministerio de Hacienda y Crédito Público,NA,NA
v13_gp_006_11,ingresos tributarios por predial (millones de $ constantes 2012),Nu,NA,CHIP - Ministerio de Hacienda y Crédito Público,NA,NA
v13_gp_006_12,ingresos tributarios por industria y comercio (millones de $ constantes 2012),Nu,NA,CHIP - Ministerio de Hacienda y Crédito Público,NA,NA
v13_gp_006_13,ingresos tributarios por sobretasa (millones de $ constantes 2012),Nu,NA,CHIP - Ministerio de Hacienda y Crédito Público,NA,NA
v13_gp_006_14,ingresos tributarios por estampilla (millones de $ constantes 2012),Nu,NA,CHIP - Ministerio de Hacienda y Crédito Público,NA,NA
v13_gp_006_15,ingresos tributarios resto  (millones de $ constantes 2012),Nu,NA,CHIP - Ministerio de Hacienda y Crédito Público,NA,NA
v13_gp_006_16,participacion del predial en los ingresos tributarios,Nu,NA,CHIP - Ministerio de Hacienda y Crédito Público,NA,NA
v13_gp_006_17,participacion de industria y comercio en los ingresos tributarios,Nu,NA,CHIP - Ministerio de Hacienda y Crédito Público,NA,NA
v13_gp_006_18,participacion de la sobretasa en los ingresos tributarios,Nu,NA,CHIP - Ministerio de Hacienda y Crédito Público,NA,NA
v13_gp_006_19,participacion de la estampilla en los ingresos tributarios,Nu,NA,CHIP - Ministerio de Hacienda y Crédito Público,NA,NA
v13_gp_006_20,participacion del resto ingresos en los ingresos tributarios,Nu,NA,CHIP - Ministerio de Hacienda y Crédito Público,NA,NA
v13_gp_006_21,recaudo de industria y comercio cartagena ($ constantes de 2012),Nu,NA,CHIP - Ministerio de Hacienda y Crédito Público,NA,NA
v13_gp_006_22,recaudo de industria y comercio bucaramanga ($ constantes de 2012),Nu,NA,CHIP - Ministerio de Hacienda y Crédito Público,NA,NA
v13_gp_006_23,recaudo de industria y comercio barranquilla ($ constantes de 2012),Nu,NA,CHIP - Ministerio de Hacienda y Crédito Público,NA,NA
v13_gp_006_24,recaudo de industria y comercio medellin ($ constantes de 2012),Nu,NA,CHIP - Ministerio de Hacienda y Crédito Público,NA,NA
v13_gp_006_25,recaudo de industria y comercio bogota($ constantes de 2012),Nu,NA,CHIP - Ministerio de Hacienda y Crédito Público,NA,NA
v13_gp_006_26,inversion per capita cartagena ($ constantes de 2012),Nu,NA,CHIP - Ministerio de Hacienda y Crédito Público,NA,NA
v13_gp_006_27,inversion per capita bucaramanga ($ constantes de 2012),Nu,NA,CHIP - Ministerio de Hacienda y Crédito Público,NA,NA
v13_gp_006_28,inversion per capita barranquilla ($ constantes de 2012),Nu,NA,CHIP - Ministerio de Hacienda y Crédito Público,NA,NA
v13_gp_006_29,inversion per capita medellin ($ constantes de 2012),Nu,NA,CHIP - Ministerio de Hacienda y Crédito Público,NA,NA
v13_gp_006_30,inversion per capita bogota($ constantes de 2012),Nu,NA,CHIP - Ministerio de Hacienda y Crédito Público,NA,NA
v13_gp_006_31,calificacion del riesgo de la deuda (riesgo crediticio),Ca,NA,Secretaría de Hacienda Distrital,NA,NA
v13_gp_006_32,inversion educacion (millones de $),Nu,NA,Secretaría de Hacienda Distrital,NA,NA
v13_gp_006_33,inversion salud (millones de $),Nu,NA,Secretaría de Hacienda Distrital,NA,NA
v13_gp_006_34,inversion infraestructura (millones de $),Nu,NA,Secretaría de Hacienda Distrital,NA,NA
v13_gp_006_35,inversion agua potable y saneamiento basico (millones de $),Nu,NA,Secretaría de Hacienda Distrital,NA,NA
v13_gp_006_36,inversion deporte (millones de $),Nu,NA,Secretaría de Hacienda Distrital,NA,NA
v13_gp_006_37,inversion cultura (millones de $),Nu,NA,Secretaría de Hacienda Distrital,NA,NA
v13_gp_006_38,inversion ambiental (millones de $),Nu,NA,Secretaría de Hacienda Distrital,NA,NA
v13_gp_006_39,inversion otros (millones de $),Nu,NA,Secretaría de Hacienda Distrital,NA,NA
v13_gp_006_40,tasa de crecimiento anual del servicio de la deuda,Nu,NA,Secretaría de Hacienda Distrital,NA,NA
v14_ee_010_01,recepcion de personas en la ciudad,Nu,"Mide la cantidad de personas que se establecen en la ciudad, por desplazamiento forzado",DPS,AMB Cómo Vamos lo estructura,Número
v14_ee_010_02,recepcion de hogares en la ciudad,Nu,"Mide la cantidad de hogares que se establecen en la ciudad, por desplazamiento forzado",DPS,AMB Cómo Vamos lo estructura,Número
v14_ee_010_03,expulsion de personas de la ciudad,Nu,"Mide la cantidad de personas que dejaron la ciudad, por desplazamiento forzado",DPS,AMB Cómo Vamos lo estructura,Número
v14_ee_010_04,expulsion de hogares de la ciudad,Nu,"Mide la cantidad de hogares que dejaron la ciudad, por desplazamiento forzado",DPS,AMB Cómo Vamos lo estructura,Número
v2-p-001_01,valor de la brecha de pobreza monetaria barranquilla am,Nu,"Mide la cantidad de dinero que le falta a la unidad pobre (hogar o persona) para dejar de ser pobre, es decir, para que alcance la línea de pobreza.",DANE,AMB Cómo Vamos lo estructura,Porcentaje
v2_p_001,incidencia pobreza monetaria,Nu,NA,NA,NA,NA
v2_p_002,incidencia pobreza monetaria extrema,Nu,NA,NA,NA,NA
v2_p_003,variacion porcentual en el ingreso promedio del hogar,Ca,Se definen como los aumentos o disminuciones de los ingresos promedios en los hogares en los años determinados,DANE,AMB Cómo Vamos lo estructura,Porcentaje
v2_p_004,coeficiente de gini de los ingresos,Nu,"Mide la desigualdad en los ingresos, de un territorio. El coeficiente de Gini es un número entre 0 y 1, en donde 0 se corresponde con la perfecta igualdad o todos tienen el mismo ingreso y  1 corresponde con la perfecta desigualdad, o una persona tiene todos los ingresos",DANE,AMB Cómo Vamos lo estructura,Número
v2_p_005,tasa de cobertura del programa unidos,Nu,Proporción de personas en condición de pobreza cubiertas por el promagra Unidos,DPS,NA,Porcentaje
v2_p_006,porcentaje de familias promovidas en el programa unidos,Nu,Proporción de personas en condición de pobreza que han superado la pobreza,DPS,NA,Porcentaje
v2_p_007,tasa de trabajo infantil,Nu,Proporción de menores entre 5 y 17 años que trabajan,DANE,NA,Porcentaje
v2_p_008,tasa de trabajo infantil ampliado,Nu,"Proporción de menores entre 5 y 17 años que trabajan, la cual incluye a los menores de edad que desempeñan oficios de hogar, como servidumbre y trabajo doméstico",DANE,NA,Porcentaje
v2_pc_002,porcentaje de participacion electoral camara,Nu,NA,Registraduría Nacional,NA,NA
v3_gp_001,indice de gobierno abierto,Nu,NA,Procuraduría General de Nación,NA,NA
v3_gp_001_01,deuda (millones de $ constantes 2012),Nu,NA,CHIP - Ministerio de Hacienda y Crédito Público,NA,NA
v3_gp_001_02,ingresos totales  (millones de $ constantes 2012),Nu,NA,CHIP - Ministerio de Hacienda y Crédito Público,NA,NA
v3_gp_001_03,gastos totales  (millones de $ constantes 2012),Nu,NA,CHIP - Ministerio de Hacienda y Crédito Público,NA,NA
v3_gp_001_04,balance total. ingresos totales -gastos totales  (millones de $ constantes 2012),Ca,NA,CHIP - Ministerio de Hacienda y Crédito Público,NA,NA
v3_gp_001_05,credito neto (desembolsos-amortizaciones)  (millones de $ constantes 2012),Ca,NA,CHIP - Ministerio de Hacienda y Crédito Público,NA,NA
v3_gp_001_06,desembolsos  (millones de $ constantes 2012),Ca,NA,CHIP - Ministerio de Hacienda y Crédito Público,NA,NA
v3_gp_001_07,amortizaciones  (millones de $ constantes 2012),Ca,NA,CHIP - Ministerio de Hacienda y Crédito Público,NA,NA
v3_gp_001_08,recursos del balance  (millones de $ constantes 2012),Nu,NA,CHIP - Ministerio de Hacienda y Crédito Público,NA,NA
v3_gp_001_09,venta de activos  (millones de $ constantes 2012),Ca,NA,CHIP - Ministerio de Hacienda y Crédito Público,NA,NA
v3_gp_001_10,balance final ( balance total-credito neto- recursos del balance-ventas de activos)  (millones de $ constantes 2012),Ca,NA,CHIP - Ministerio de Hacienda y Crédito Público,NA,NA
v3_gp_001_11,porcentaje de contribuyentes morosos de impuesto predial,Nu,NA,Secretaría de Hacienda Distrital,NA,NA
v3_gp_001_12,provision fondo de contingencias  (millones de $ constantes 2012),Nu,NA,Secretaría de Hacienda Distrital,NA,NA
v3_gp_001_13,ingresos tributarios (millones de $ constantes 2012),Nu,NA,CHIP - Ministerio de Hacienda y Crédito Público,NA,NA
v3_gp_001_14,ingresos no tributarios (millones de $ constantes 2012),Nu,NA,CHIP - Ministerio de Hacienda y Crédito Público,NA,NA
v3_gp_002,ingresos propios como porcentaje de ingresos totales,Nu,NA,Contaduría General de la Nación-FUT,NA,NA
v3_gp_026,indice de desempeno integral,Nu,NA,DNP,NA,NA
v3_s_001,cobertura en aseguramiento,Nu,Proporción de personas afiliadas a algún régimen de salud,Secretaría Distrital de salud,NA,Porcentaje
v3_s_001_01,numero total de muertes,Nu,Número de personas fallecidas en un territorio y tiempo determinado,DANE,NA,Número
v3_s_001_02,nacimientos de madres entre 10-14 anos,Nu,Número total de nacimientos de madres residentes en la ciudad con edades de 10 a 14 años,DANE,NA,Número
v3_s_001_03,nacimientos de madres entre 15-19 anos,Nu,Número total de nacimientos de madres residentes en la ciudad con edades de 15 a 19 años,DANE,NA,Número
v3_s_001_04,nacimientos de madres entre 10-19 anos,Nu,Número total de nacimientos de madres residentes en la ciudad con edades de 10 a 19 años,DANE,NA,Número
v3_s_001_05,tasa especifica de fecundidad en mujeres de 10 a 14 anos,Nu,"Es el número de nacidos vivos de madres de 10 a 14 años de edad durante un período dado por cada 1.000 mujeres de 10 a 14 años de edad en ese mismo período, en un determinado territorio","DANE, Cálculos BqCV",NA,Tasa por 1000 mujeres de 10 a 14 años
v3_s_001_06,tasa especifica de fecundidad en mujeres de 15 a 19 anos,Nu,"Es el número de nacidos vivos de madres de 15 a 19 años de edad durante un período dado por cada 1.000 mujeres de 15 a 19 años de edad en ese mismo período, en un determinado territorio","DANE, Cálculos BqCV",NA,Tasa por 1000 mujeres de 15 a 19 años
v3_s_001_07,tasa especifica de fecundidad en adolescentes (10 a 19 anos),Nu,"Es el número de nacidos vivos de madres de 10 a 19 años de edad durante un período dado por cada 1.000 mujeres de 10 a 19 años de edad en ese mismo período, en un determinado territorio","DANE, Cálculos BqCV",NA,Tasa por 1000 mujeres de 10 a 19 años
v3_s_001_08,proporcion de embarazos en adolescentes de 10 a 14 anos,Nu,Mide la proporción de nacimientos en los que la madre se encuentra entre los 10 y los 14 años por cada 100 nacimientos,"DANE, Cálculos BqCV",NA,Porcentaje
v3_s_001_09,proporcion de embarazos en adolescentes de 15 a 19 anos,Nu,Mide la proporción de nacimientos en los que la madre se encuentra entre los 15 y los 19 años por cada 100 nacimientos,"DANE, Cálculos BqCV",NA,Porcentaje
v3_s_001_10,proporcion de embarazos en adolescentes (10-19 anos),Nu,Mide la proporción de nacimientos en los que la madre se encuentra entre los 10 y los 19 años por cada 100 nacimientos,"DANE, Cálculos BqCV",NA,Porcentaje
v3_s_001_11,casos vih/sida en menores de 18 anos,Nu,Total de casos reportados de personas menores de 18 años con VIH/SIDA,Secretaría Distrital de Salud-DANE,NA,Número
v3_s_001_12,tasa de incidencia vih/sida en menores de 18 anos (por 100 mil menores de 18 anos),Nu,"Es el número de menores de 18 años con VIH/SIDA durante un período dado por cada 100.000 menores de 18 años en ese mismo período, en un determinado territorio",Secretaría Distrital de Salud-DANE,NA,Tasa por 100.000 menores de 18 años
v3_s_001_13,casos vih/sida en personas de 15 a 49 anos,Nu,Total de casos reportados de personas menores entre 15 y 49 años con VIH/SIDA,Secretaría Distrital de Salud-DANE,NA,Número
v3_s_001_14,tasa de incidencia vih/sida en personas de 15 a 49 anos (por 100 mil personas de 15 a 49 anos),Nu,"Es el número de menores entre 15 y 49 años con VIH/SIDA durante un período dado por cada 100.000 personas entre los 15 y 49 años en ese mismo período, en un determinado territorio",Secretaría Distrital de Salud-DANE,NA,Tasa por 100.000 personas de 15 a 49 años
v3_s_001_15,numero de muertes  por vih/sida,Nu,Número total de personas fallecidas por VIH/SIDA en un territorio determinado,Secretaría Distrital de Salud-DANE,NA,Número
v3_s_001_16,tasa de mortalidad por vih/sida (por 100 mil habitantes),Nu,"Es el número total de defunciones estimadas por VIH/Sida dividido por el total de la población, expresada por 100.000 habitantes.",Secretaría Distrital de Salud-DANE,NA,Tasa por 100.000 habitantes
v3_s_001_17,casos de dengue,Nu,"Es el número de casos de dengue reportados por la autoridad sanitaria nacional para un año dado, en un determinado territorio",Secretaría Distrital de Salud,NA,Número
v3_s_001_18,tasa incidencia dengue,Nu,"Es el número de casos nuevos de dengue reportados por la autoridad sanitaria nacional para un año dado, en un determinado territorio, por cada 100.000 habitantes.",Secretaría Distrital de Salud,NA,Tasa por 100.000 habitantes
v3_s_001_19,tasa de letalidad de dengue,Nu,Proporción de casos graves de dengue que terminaron en defunciones,Secretaría Distrital de Salud,NA,Porcentaje
v3_s_001_20,muertes por dengue,Nu,Número de muertes por dengue en un período y territorio determinado,Secretaría Distrital de Salud,NA,Número
v3_s_001_21,casos de chicungunya,Nu,Número total de casos reportado con el virus Chicungunya,Secretaría Distrital de Salud,NA,Número
v3_s_001_22,casos de tuberculosis (pulmonar y extrapulmonar),Nu,"Es el número de casos de tuberculosis reportados por la autoridad sanitaria nacional para un año dado, en un determinado territorio, incluye tuberculosis pulmunar y extrapulmonar",Secretaría Distrital de Salud-SIVIGILA,NA,Número
v3_s_001_23,tasa de incidencia de tuberculosis (por 100 mil habitantes),Nu,"Es el número de casos nuevos de tuberculosis reportados por la autoridad sanitaria nacional para un año dado, en un determinado territorio, por cada 100.000 habitantes.",Secretaría Distrital de Salud-SIVIGILA,NA,Tasa por 100.000 habitantes
v3_s_001_24,casos de tuberculosis pulmonar,Nu,"Es el número de casos de tuberculosis pulmonar reportados por la autoridad sanitaria nacional para un año dado, en un determinado territorio",Secretaría Distrital de Salud-SIVIGILA,NA,Número
v3_s_001_25,casos de tuberculosis extrapulmonar,Nu,"Es el número de casos de tuberculosis extrapulmonar reportados por la autoridad sanitaria nacional para un año dado, en un determinado territorio",Secretaría Distrital de Salud-SIVIGILA,NA,Número
v3_s_001_26,muertes por tuberculosis,Nu,Número total de muertes por tuberculosis en un periodo dado y territorio,Secretaría Distrital de Salud-DANE,NA,Número
v3_s_001_27,tasa de mortalidad por tuberculosis (por 100 mil habitantes),Nu,"Es el número total de defunciones estimadas por Tuberculosis en una población total dividido por el total de esa población, expresada por 100.000 habitantes.",Secretaría Distrital de Salud-DANE,NA,Tasa por 100.000 habitantes
v3_s_001_28,casos suicidios,Nu,Número total de lesiones fatales autoinflingidas en un período y territorio determinado,Sistema de Información unificado del Fondo de seguridad y convivencia Distrital,NA,Número
v3_s_001_29,tasa de suicidios (por 100 mil habitantes),Nu,"Es el número total de lesiones fatales autoinflingidas dividido por el total de la población, expresada por 100.000 habitantes.",Sistema de Información unificado del Fondo de seguridad y convivencia Distrital,NA,Número
v3_s_001_30,suicidios de personas de 10-14 anos,Nu,Número total de lesiones fatales autoinflingidas de personas de 10 a 14 años de edad en un período y territorio determinado,Sistema de Información unificado del Fondo de seguridad y convivencia Distrital,NA,Número
v3_s_001_31,suicidios de personas de 15-17 anos,Nu,Número total de lesiones fatales autoinflingidas de personas de 15 a 17 años de edad en un período y territorio determinado,Sistema de Información unificado del Fondo de seguridad y convivencia Distrital,NA,Número
v3_s_001_32,suicidios de personas de 18-19 anos,Nu,Número total de lesiones fatales autoinflingidas de personas de 18 a 19 años de edad en un período y territorio determinado,Sistema de Información unificado del Fondo de seguridad y convivencia Distrital,NA,Número
v3_s_001_33,suicidios de personas de 20-24 anos,Nu,Número total de lesiones fatales autoinflingidas de personas de 20 a 24 años de edad en un período y territorio determinado,Sistema de Información unificado del Fondo de seguridad y convivencia Distrital,NA,Número
v3_s_001_34,suicidios de personas de 25-29 anos,Nu,Número total de lesiones fatales autoinflingidas de personas de 25 a 29 años de edad en un período y territorio determinado,Sistema de Información unificado del Fondo de seguridad y convivencia Distrital,NA,Número
v3_s_001_35,suicidios de personas de 30-34 anos,Nu,Número total de lesiones fatales autoinflingidas de personas de 30 a 34 años de edad en un período y territorio determinado,Sistema de Información unificado del Fondo de seguridad y convivencia Distrital,NA,Número
v3_s_001_36,suicidios de personas de 35-39 anos,Nu,Número total de lesiones fatales autoinflingidas de personas de 35 a 39 años de edad en un período y territorio determinado,Sistema de Información unificado del Fondo de seguridad y convivencia Distrital,NA,Número
v3_s_001_37,suicidios de personas de 40-44 anos,Nu,Número total de lesiones fatales autoinflingidas de personas de 40 a 44 años de edad en un período y territorio determinado,Sistema de Información unificado del Fondo de seguridad y convivencia Distrital,NA,Número
v3_s_001_38,suicidios de personas de 45-49 anos,Nu,Número total de lesiones fatales autoinflingidas de personas de 45 a 49 años de edad en un período y territorio determinado,Sistema de Información unificado del Fondo de seguridad y convivencia Distrital,NA,Número
v3_s_001_39,suicidios de personas de 50-54 anos,Nu,Número total de lesiones fatales autoinflingidas de personas de 50 a 54 años de edad en un período y territorio determinado,Sistema de Información unificado del Fondo de seguridad y convivencia Distrital,NA,Número
v3_s_001_40,suicidios de personas de 55-59 anos,Nu,Número total de lesiones fatales autoinflingidas de personas de 55 a 59 años de edad en un período y territorio determinado,Sistema de Información unificado del Fondo de seguridad y convivencia Distrital,NA,Número
v3_s_001_41,suicidios de personas de 60-64 anos,Nu,Número total de lesiones fatales autoinflingidas de personas de 60 a 64 años de edad en un período y territorio determinado,Sistema de Información unificado del Fondo de seguridad y convivencia Distrital,NA,Número
v3_s_001_42,suicidios de personas de 65-69 anos,Nu,Número total de lesiones fatales autoinflingidas de personas de 65 a 69 años de edad en un período y territorio determinado,Sistema de Información unificado del Fondo de seguridad y convivencia Distrital,NA,Número
v3_s_001_43,suicidios de personas de 70-74 anos,Nu,Número total de lesiones fatales autoinflingidas de personas de 70 a 74 años de edad en un período y territorio determinado,Sistema de Información unificado del Fondo de seguridad y convivencia Distrital,NA,Número
v3_s_001_44,suicidios de personas de 75-79 anos,Nu,Número total de lesiones fatales autoinflingidas de personas de 75 a 79 años de edad en un período y territorio determinado,Sistema de Información unificado del Fondo de seguridad y convivencia Distrital,NA,Número
v3_s_001_45,suicidios de personas de 80 y mas anos,Nu,Número total de lesiones fatales autoinflingidas de personas de 80 y más años de edad en un período y territorio determinado,Sistema de Información unificado del Fondo de seguridad y convivencia Distrital,NA,Número
v3_s_001_46,suicidios hombres,Nu,Número total de lesiones fatales autoinflingidas en hombre en un período y territorio determinado,Sistema de Información unificado del Fondo de seguridad y convivencia Distrital,NA,Número
v3_s_001_47,suicidios mujeres,Nu,Número total de lesiones fatales autoinflingidas en mujeres en un período y territorio determinado,Sistema de Información unificado del Fondo de seguridad y convivencia Distrital,NA,Número
v3_s_004,tasa de mortalidad general,Nu,"Número de personas fallecidas en un territorio y tiempo determinado sobre la población total del territorio, multiplicado por 100.000",DANE,NA,Tasa por 100.000 habitantes
