id,label,ctype,UNIDAD,TEMA,FUENTE
v10_ep_001_10,ingresos bajos,Nu,%,actividad economica,DANE
v10_ep_001_11,disoluciones,Nu,MILLONES DE PESOS,actividad economica,CCC
v10_ep_001_12,act. inmobiliarias,Nu,#,actividad economica,CCC
v10_ep_001_13,industria,Nu,#,actividad economica,CCC
v10_ep_001_14,"agricult., ganaderia, caza, silvic., y pesca",Nu,#,actividad economica,CCC
v10_ep_001_15,construccion,Nu,#,actividad economica,CCC
v10_ep_001_16,informacion y comunicaciones,Nu,#,actividad economica,CCC
v10_ep_001_17,"activ., artisticas, de entrete. y recreacion",Nu,#,actividad economica,CCC
v10_ep_001_18,act. financieras y de seguros,Nu,#,actividad economica,CCC
v10_ep_001_19,"act. profesionales, cientificas y tecnicas",Nu,#,actividad economica,CCC
v10_ep_001_20,act. de aten. de salud humana y asist. soc.,Nu,#,actividad economica,CCC
v10_ep_001_21,alojamiento y servicios de comida,Nu,#,actividad economica,CCC
v10_ep_001_22,comercio,Nu,MILLONES DE PESOS,actividad economica,CCC
v10_ep_001_23,otras act. de servicios,Nu,#,actividad economica,CCC
v10_ep_001_24,explotacion de minas y canteras,Nu,#,actividad economica,CCC
v10_ep_001_25,"distri. gua; evac., y tratam., de aguas res., gestion de desechos y activ., de san. amb.",Nu,#,actividad economica,CCC
v10_ep_001_26,educacion,Nu,#,actividad economica,CCC
v10_ep_001_27,act. de servicios adm. y de apoyo,Nu,#,actividad economica,CCC
v10_ep_001_28,#n/a,Nu,#,actividad economica,CCC
v10_ep_001_29,act. de hogares individuales en calidad de empleadores,Nu,#,actividad economica,CCC
v10_ep_001_30,admon publica y defensa,Nu,#,actividad economica,CCC
v10_ep_001_31,"suministro de electricidad, gas, vapor y aire acond.",Nu,#,actividad economica,CCC
v10_ep_001_32,indice de atractividad de inversiones-inai,Nu,ÍNDICE,actividad economica,Ranking De Ciudades Latinoamericanas Para La Atracción De Inversiones 2014. U. del Rosario de Colombia y la consultora IdN Inteligencia de Negocios (Chile)
v10_ep_001_33,transporte y almacenamiento,Nu,MILLONES DE PESOS,actividad economica,CCC
v10_ep_001_34,doing businnes,Nu,POSICIÓN,actividad economica,"DBCOL 2013, Banco Mundial."
v10_ep_001_35,doing businnes facilidad de registro de propiedades,Nu,POSICIÓN,actividad economica,"DBCOL 2013, Banco Mundial."
v14_ee_0_10,mantenimiento arboreo: podas,Nu,#,medio ambiente,DAGMA
v14_ee_0_122,doing businnes facilidad de registro de propiedades,Nu,POSICIÓN,actividad economica,"DBCOL 2013, Banco Mundial."
v14_ee_0_123,doing businnes facilidad de apertura de un negocio,Nu,POSICIÓN,actividad economica,"DBCOL 2013, Banco Mundial."
v14_ee_0_124,doing businnes facilidad de apertura de un negocio,Nu,POSICIÓN,actividad economica,"DBCOL 2013, Banco Mundial."
v14_ee_0_125,participacion del sector promocion del desarrollo en el total de inversion,Nu,%,actividad economica,FUT-CGR
v14_ee_0_126,total de inversion sector promocion del desarrollo,Nu,MILLONES DE PESOS,actividad economica,FUT-CGR
v14_ee_0_127,adicion de maquinaria y equipo,Nu,MILLONES DE PESOS,actividad economica,FUT-CGR
v14_ee_0_128,"asistencia tec. en procesos de prod., distr. y comer. y acceso a fuentes de financiacion",Nu,MILLONES DE PESOS,actividad economica,FUT-CGR
v14_ee_0_129,"construccion, mejoramiento y mantenimiento de infraes.a fisica",Nu,MILLONES DE PESOS,actividad economica,FUT-CGR
v14_ee_0_13,act. inmobiliarias,Nu,MILLONES DE PESOS,actividad economica,CCC
v14_ee_0_130,fomento y apoyo a la apropiacion de tecnologia en proc. empresariales,Nu,MILLONES DE PESOS,actividad economica,FUT-CGR
v14_ee_0_131,prom. de asociaciones y alianzas para el desarrollo empresarial e industrial,Nu,MILLONES DE PESOS,actividad economica,FUT-CGR
v14_ee_0_132,promocion de capacitacion para empleo,Nu,MILLONES DE PESOS,actividad economica,FUT-CGR
v14_ee_0_133,promocion del desarrollo turistico,Nu,MILLONES DE PESOS,actividad economica,FUT-CGR
v14_ee_0_134,reservas de inversion en el sector vigencia anterior (ley 819 de 2003),Nu,MILLONES DE PESOS,actividad economica,FUT-CGR
v14_ee_0_135,"proy. integrales de ciencia, tecnologia e innovacion",Nu,MILLONES DE PESOS,actividad economica,FUT-CGR
v14_ee_0_136,indice de calidad del empleo en cali,Nu,ÍNDICE,actividad economica,"MIGRACIONES Y SU IMPACTO SOBRE EL MERCADO LABORAL, JOHN JAMES MORA, 2013.
A PARTIR DE GEIH 2012 Y ENCUESTA DE EMPLEO Y CALIDAD DE VIDA 2012 DE MINTRABAJO
"
v14_ee_0_137,ingreso per capita,Nu,$,politica social,DANE
v14_ee_0_14,industria,Nu,MILLONES DE PESOS,actividad economica,CCC
v14_ee_0_15,"agricult., ganaderia, caza, silvic., y pesca",Nu,MILLONES DE PESOS,actividad economica,CCC
v14_ee_0_16,construccion,Nu,MILLONES DE PESOS,actividad economica,CCC
v14_ee_0_17,informacion y comunicaciones,Nu,MILLONES DE PESOS,actividad economica,CCC
v14_ee_0_18,"activ., artisticas, de entrete. y recreacion",Nu,MILLONES DE PESOS,actividad economica,CCC
v14_ee_0_19,act. financieras y de seguros,Nu,MILLONES DE PESOS,actividad economica,CCC
v14_ee_0_2,ingresos medios,Nu,%,actividad economica,DANE
v14_ee_0_20,"act. profesionales, cientificas y tecnicas",Nu,MILLONES DE PESOS,actividad economica,CCC
v14_ee_0_21,act. de aten. de salud humana y asist. soc.,Nu,MILLONES DE PESOS,actividad economica,CCC
v14_ee_0_22,alojamiento y servicios de comida,Nu,MILLONES DE PESOS,actividad economica,CCC
v14_ee_0_23,otras act. de servicios,Nu,MILLONES DE PESOS,actividad economica,CCC
v14_ee_0_24,explotacion de minas y canteras,Nu,MILLONES DE PESOS,actividad economica,CCC
v14_ee_0_25,"distri. gua; evac., y tratam., de aguas res., gestion de desechos y activ., de san. amb.",Nu,MILLONES DE PESOS,actividad economica,CCC
v14_ee_0_26,educacion,Nu,MILLONES DE PESOS,actividad economica,CCC
v14_ee_0_27,act. de servicios adm. y de apoyo,Nu,MILLONES DE PESOS,actividad economica,CCC
v14_ee_0_28,act. de hogares individuales en calidad de empleadores,Nu,MILLONES DE PESOS,actividad economica,CCC
v14_ee_0_29,admon publica y defensa,Nu,MILLONES DE PESOS,actividad economica,CCC
v14_ee_0_3,ingresos altos,Nu,%,actividad economica,DANE
v14_ee_0_30,"suministro de electricidad, gas, vapor y aire acond.",Nu,MILLONES DE PESOS,actividad economica,CCC
v14_ee_0_31,comercio,Nu,MILLONES DE PESOS,actividad economica,CCC
v14_ee_0_32,transporte y almacenamiento,Nu,MILLONES DE PESOS,actividad economica,CCC
v14_ee_0_33,act. inmobiliarias,Nu,MILLONES DE PESOS,actividad economica,CCC
v14_ee_0_34,industria,Nu,MILLONES DE PESOS,actividad economica,CCC
v14_ee_0_35,"agricult., ganaderia, caza, silvic., y pesca",Nu,MILLONES DE PESOS,actividad economica,CCC
v14_ee_0_36,construccion,Nu,MILLONES DE PESOS,actividad economica,CCC
v14_ee_0_37,informacion y comunicaciones,Nu,MILLONES DE PESOS,actividad economica,CCC
v14_ee_0_38,"activ., artisticas, de entrete. y recreacion",Nu,MILLONES DE PESOS,actividad economica,CCC
v14_ee_0_39,act. financieras y de seguros,Nu,MILLONES DE PESOS,actividad economica,CCC
v14_ee_0_4,indice de calidad del empleo: total,Nu,ÍNDICE,actividad economica,RCCV
v14_ee_0_40,"act. profesionales, cientificas y tecnicas",Nu,MILLONES DE PESOS,actividad economica,CCC
v14_ee_0_41,act. de aten. de salud humana y asist. soc.,Nu,MILLONES DE PESOS,actividad economica,CCC
v14_ee_0_42,alojamiento y servicios de comida,Nu,MILLONES DE PESOS,actividad economica,CCC
v14_ee_0_43,otras act. de servicios,Nu,MILLONES DE PESOS,actividad economica,CCC
v14_ee_0_44,explotacion de minas y canteras,Nu,MILLONES DE PESOS,actividad economica,CCC
v14_ee_0_45,"distri. gua; evac., y tratam., de aguas res., gestion de desechos y activ., de san. amb.",Nu,MILLONES DE PESOS,actividad economica,CCC
v14_ee_0_46,educacion,Nu,MILLONES DE PESOS,actividad economica,CCC
v14_ee_0_47,act. de servicios adm. y de apoyo,Nu,MILLONES DE PESOS,actividad economica,CCC
v14_ee_0_48,#n/a,Nu,MILLONES DE PESOS,actividad economica,CCC
v14_ee_0_49,act. de hogares individuales en calidad de empleadores,Nu,MILLONES DE PESOS,actividad economica,CCC
v14_ee_0_5,indice de calidad del empleo: asalariados,Nu,ÍNDICE,actividad economica,RCCV
v14_ee_0_50,admon publica y defensa,Nu,MILLONES DE PESOS,actividad economica,CCC
v14_ee_0_51,"suministro de electricidad, gas, vapor y aire acond.",Nu,MILLONES DE PESOS,actividad economica,CCC
v14_ee_0_52,comercio,Nu,MILLONES DE PESOS,actividad economica,CCC
v14_ee_0_53,transporte y almacenamiento,Nu,MILLONES DE PESOS,actividad economica,CCC
v14_ee_0_54,act. inmobiliarias,Nu,MILLONES DE PESOS,actividad economica,CCC
v14_ee_0_55,industria,Nu,MILLONES DE PESOS,actividad economica,CCC
v14_ee_0_56,"agricult., ganaderia, caza, silvic., y pesca",Nu,MILLONES DE PESOS,actividad economica,CCC
v14_ee_0_57,construccion,Nu,MILLONES DE PESOS,actividad economica,CCC
v14_ee_0_58,informacion y comunicaciones,Nu,MILLONES DE PESOS,actividad economica,CCC
v14_ee_0_59,"activ., artisticas, de entrete. y recreacion",Nu,MILLONES DE PESOS,actividad economica,CCC
v14_ee_0_6,indice de calidad del empleo: independientes,Nu,ÍNDICE,actividad economica,RCCV
v14_ee_0_60,act. financieras y de seguros,Nu,MILLONES DE PESOS,actividad economica,CCC
v14_ee_0_61,"act. profesionales, cientificas y tecnicas",Nu,MILLONES DE PESOS,actividad economica,CCC
v14_ee_0_62,act. de aten. de salud humana y asist. soc.,Nu,MILLONES DE PESOS,actividad economica,CCC
v14_ee_0_63,alojamiento y servicios de comida,Nu,MILLONES DE PESOS,actividad economica,CCC
v14_ee_0_64,otras act. de servicios,Nu,MILLONES DE PESOS,actividad economica,CCC
v14_ee_0_65,explotacion de minas y canteras,Nu,MILLONES DE PESOS,actividad economica,CCC
v14_ee_0_66,"distri. gua; evac., y tratam., de aguas res., gestion de desechos y activ., de san. amb.",Nu,MILLONES DE PESOS,actividad economica,CCC
v14_ee_0_67,educacion,Nu,MILLONES DE PESOS,actividad economica,CCC
v14_ee_0_68,act. de servicios adm. y de apoyo,Nu,MILLONES DE PESOS,actividad economica,CCC
v14_ee_0_69,#n/a,Nu,MILLONES DE PESOS,actividad economica,CCC
v14_ee_0_7,inversion neta,Nu,MILLONES DE PESOS,actividad economica,CCC
v14_ee_0_70,act. de hogares individuales en calidad de empleadores,Nu,MILLONES DE PESOS,actividad economica,CCC
v14_ee_0_71,admon publica y defensa,Nu,MILLONES DE PESOS,actividad economica,CCC
v14_ee_0_72,"suministro de electricidad, gas, vapor y aire acond.",Nu,MILLONES DE PESOS,actividad economica,CCC
v14_ee_0_73,inversion neta,Ca,#,actividad economica,CCC
v14_ee_0_74,numero de empresas creadas en cali,Nu,#,actividad economica,CCC
v14_ee_0_75,reformas,Nu,#,actividad economica,CCC
v14_ee_0_76,disoluciones,Nu,#,actividad economica,CCC
v14_ee_0_77,comercio,Nu,#,actividad economica,CCC
v14_ee_0_78,transporte y almacenamiento,Nu,#,actividad economica,CCC
v14_ee_0_79,act. inmobiliarias,Nu,#,actividad economica,CCC
v14_ee_0_8,constituciones,Nu,MILLONES DE PESOS,actividad economica,CCC
v14_ee_0_80,industria,Nu,#,actividad economica,CCC
v14_ee_0_81,"agricult., ganaderia, caza, silvic., y pesca",Nu,#,actividad economica,CCC
v14_ee_0_82,construccion,Nu,#,actividad economica,CCC
v14_ee_0_83,informacion y comunicaciones,Nu,#,actividad economica,CCC
v14_ee_0_84,"activ., artisticas, de entrete. y recreacion",Nu,#,actividad economica,CCC
v14_ee_0_85,act. financieras y de seguros,Nu,#,actividad economica,CCC
v14_ee_0_86,"act. profesionales, cientificas y tecnicas",Nu,#,actividad economica,CCC
v14_ee_0_87,act. de aten. de salud humana y asist. soc.,Nu,#,actividad economica,CCC
v14_ee_0_88,alojamiento y servicios de comida,Nu,#,actividad economica,CCC
v14_ee_0_89,otras act. de servicios,Nu,#,actividad economica,CCC
v14_ee_0_9,reformas,Nu,MILLONES DE PESOS,actividad economica,CCC
v14_ee_0_90,explotacion de minas y canteras,Nu,#,actividad economica,CCC
v14_ee_0_91,"distri. gua; evac., y tratam., de aguas res., gestion de desechos y activ., de san. amb.",Nu,#,actividad economica,CCC
v14_ee_0_92,educacion,Nu,#,actividad economica,CCC
v14_ee_0_93,act. de servicios adm. y de apoyo,Nu,#,actividad economica,CCC
v14_ee_0_94,#n/a,Nu,#,actividad economica,CCC
v14_ee_0_95,act. de hogares individuales en calidad de empleadores,Nu,#,actividad economica,CCC
v14_ee_0_96,admon publica y defensa,Nu,#,actividad economica,CCC
v14_ee_0_97,"suministro de electricidad, gas, vapor y aire acond.",Nu,#,actividad economica,CCC
v14_ee_0_98,comercio,Nu,#,actividad economica,CCC
v14_ee_0_99,transporte y almacenamiento,Nu,#,actividad economica,CCC
v1_cr_001_10,bibliotecas publicas en cali,Nu,#,cultura y turismo,SCT
v1_cr_009,espacios publicos de deporte y recreacion  por cada 100 mil habitantes,Nu,POR 100 MIL HABITANTES,deporte y recreacion,SDR
v1_cr_009_01,espacios publicos de deporte y recreacion (unidades recreativas y escenarios deportivos),Nu,#,deporte y recreacion,SDR
v1_cr_009_02,espacios publicos de deporte y recreacion (unidades recreativas y escenarios deportivos) cuenca norte,Nu,#,deporte y recreacion,SDR
v1_cr_009_03,espacios publicos de deporte y recreacion (unidades recreativas y escenarios deportivos) cuenca sur,Nu,#,deporte y recreacion,SDR
v1_cr_009_04,espacios publicos de deporte y recreacion (unidades recreativas y escenarios deportivos) cuenca centro,Nu,#,deporte y recreacion,SDR
v1_cr_034,equipamiento comunitario relacionado con cultura.,Nu,#,cultura y turismo,SCT
v1_cr_0_67,usuarios de bibliotecas por 100 mil hab,Nu,POR 100 MIL HABITANTES,cultura y turismo,SCT
v1_cr_0_68,usuarios de bibliotecas total,Nu,#,cultura y turismo,SCT
v1_cr_0_69,numero de noches reportadas,Nu,#,cultura y turismo,COTELVALLE
v1_cr_0_70,noches reportadas huespedes nacionales,Nu,#,cultura y turismo,COTELVALLE
v1_cr_0_71,noches reportadas huespedes internacionales,Nu,#,cultura y turismo,COTELVALLE
v1_cr_0_72,ventas del sector hotelero,Nu,$,cultura y turismo,COTELVALLE
v1_cr_0_73,eventos icca realizados,Nu,#,cultura y turismo,CEVP
v1_cr_0_74,eventos realizados en centro de eventos valle del pacifico,Nu,#,cultura y turismo,CEVP
v1_cr_0_75,eventos realizados en centro de eventos valle del pacifico eventos locales y regionales,Nu,#,cultura y turismo,CEVP
v1_cr_0_76,eventos realizados en centro de eventos valle del pacifico eventos nacionales,Nu,#,cultura y turismo,CEVP
v1_cr_0_77,eventos realizados en centro de eventos valle del pacifico eventos internacionales,Nu,#,cultura y turismo,CEVP
v1_cr_0_78,total visitantes,Nu,#,cultura y turismo,CEVP
v1_cr_0_79,beneficiados programas,Nu,#,deporte y recreacion,SDR
v1_cr_0_80,beneficiarios centros de iniciacion y formacion deportiva,Nu,#,deporte y recreacion,SDR
v1_cr_0_81,beneficiarios actividades recreativas de aerobicos,Nu,#,deporte y recreacion,SDR
v1_cr_0_82,beneficiarios gimnasia dirigida adulto mayor,Nu,#,deporte y recreacion,SDR
v1_d_001,poblacion de cali,Nu,#,general,DANE / TOMADO DE CALI EN CIFRAS DAPM
v1_d_001_01,grupos poblacionales del sisben iii (a diciembre) primera infancia (0-4 anos),Nu,# DE PERSONAS,politica social,DAPM
v1_d_001_02,grupos poblacionales del sisben iii (a diciembre) adultos mayores (60 anos y mas),Nu,# DE PERSONAS,politica social,DAPM
v1_d_001_03,grupos poblacionales del sisben iii (a diciembre) mujeres,Nu,# DE PERSONAS,politica social,DAPM
v1_d_001_04,"grupos poblacionales del sisben iii (a diciembre) ninos, ninas y adolescentes (5-14 anos)",Nu,# DE PERSONAS,politica social,DAPM
v1_d_001_05,grupos poblacionales del sisben iii (a diciembre) juventud (15-24 anos) (sisben iii a junio /2012),Nu,# DE PERSONAS,politica social,DAPM
v1_d_001_06,grupos poblacionales del sisben iii (a diciembre) poblacion total encuestada,Nu,# DE PERSONAS,politica social,DAPM
v1_d_001_07,grupos poblacionales del sisben iii (a diciembre) poblacion con discapacidad,Nu,# DE PERSONAS,politica social,DAPM
v2_p_001,incidencia de la pobreza,Nu,%,politica social,DANE
v2_p_002,incidencia de la pobreza extrema,Nu,%,politica social,DANE
v2_p_009,indice de  gini,Nu,%,politica social,DANE
v3_gp_000_1,"recaudo transferencias de la nacion ley 715, sistema general de participaciones.",Nu,MILLONES DE PESOS,finanzas publicas,DAHM
v3_gp_000_10,ingresos tributarios,Nu,MILLONES DE PESOS,finanzas publicas,DAHM
v3_gp_000_11,predial unificado,Nu,MILLONES DE PESOS,finanzas publicas,DAHM
v3_gp_000_12,sobretasa a la gasolina,Nu,MILLONES DE PESOS,finanzas publicas,DAHM
v3_gp_000_13,industria y comercio,Nu,MILLONES DE PESOS,finanzas publicas,DAHM
v3_gp_000_14,otros,Nu,MILLONES DE PESOS,finanzas publicas,DAHM
v3_gp_000_15,ingresos no tributarios,Nu,MILLONES DE PESOS,finanzas publicas,DAHM
v3_gp_000_16,de capital,Nu,MILLONES DE PESOS,finanzas publicas,DAHM
v3_gp_000_17,porcentaje del gasto total destinado a la inversion,Nu,%,finanzas publicas,DAHM
v3_gp_000_18,gastos totales,Nu,MILLONES DE PESOS,finanzas publicas,DAHM
v3_gp_000_19,funcionamiento,Nu,MILLONES DE PESOS,finanzas publicas,DAHM
v3_gp_000_2,"recaudo transferencias de la nacion ley 715, sistema general de participaciones. proposito general",Nu,MILLONES DE PESOS,finanzas publicas,DAHM
v3_gp_000_20,servicios personales,Nu,MILLONES DE PESOS,finanzas publicas,DAHM
v3_gp_000_21,gastos generales,Nu,MILLONES DE PESOS,finanzas publicas,DAHM
v3_gp_000_23,inversion de dependencia  secretaria educacion,Nu,MILLONES DE PESOS,finanzas publicas,DAHM
v3_gp_000_24,inversion de dependencia  secretaria salud,Nu,MILLONES DE PESOS,finanzas publicas,DAHM
v3_gp_000_25,inversion de dependencia  infraestructura,Nu,MILLONES DE PESOS,finanzas publicas,DAHM
v3_gp_000_26,inversion de dependencia  planeacion municipal,Nu,MILLONES DE PESOS,finanzas publicas,DAHM
v3_gp_000_27,inversion de dependencia  deporte y recreacion,Nu,MILLONES DE PESOS,finanzas publicas,DAHM
v3_gp_000_28,inversion de dependencia  cultura y turismo,Nu,MILLONES DE PESOS,finanzas publicas,DAHM
v3_gp_000_29,inversion de dependencia dagma,Nu,MILLONES DE PESOS,finanzas publicas,DAHM
v3_gp_000_3,"recaudo transferencias de la nacion ley 715, sistema general de participaciones. salud",Nu,MILLONES DE PESOS,finanzas publicas,DAHM
v3_gp_000_30,inversion de dependencia gobierno,Nu,MILLONES DE PESOS,finanzas publicas,DAHM
v3_gp_000_31,inversion de dependencia   transito y transporte,Nu,MILLONES DE PESOS,finanzas publicas,DAHM
v3_gp_000_32,inversion de dependencia  hacienda municipal,Nu,MILLONES DE PESOS,finanzas publicas,DAHM
v3_gp_000_33,inversion de dependencia  secretaria vivienda,Nu,MILLONES DE PESOS,finanzas publicas,DAHM
v3_gp_000_34,inversion de dependencia  desarrollo territorial,Nu,MILLONES DE PESOS,finanzas publicas,DAHM
v3_gp_000_35,inversion de dependencia  secretaria general,Nu,MILLONES DE PESOS,finanzas publicas,DAHM
v3_gp_000_36,inversion de dependencia desarrollo administrativo,Nu,MILLONES DE PESOS,finanzas publicas,DAHM
v3_gp_000_37,inversion de dependencia direccion juridica,Nu,MILLONES DE PESOS,finanzas publicas,DAHM
v3_gp_000_38,inversion de dependencia  control disciplinario,Nu,MILLONES DE PESOS,finanzas publicas,DAHM
v3_gp_000_39,inversion de dependencia  control interno,Nu,MILLONES DE PESOS,finanzas publicas,DAHM
v3_gp_000_4,"recaudo transferencias de la nacion ley 715, sistema general de participaciones. educacion",Nu,MILLONES DE PESOS,finanzas publicas,DAHM
v3_gp_000_40,inversion de dependencia  saldo de la deuda,Nu,MILLONES DE PESOS,finanzas publicas,DAHM
v3_gp_000_41,servicio de la deuda,Nu,MILLONES DE PESOS,finanzas publicas,DAHM
v3_gp_000_42,abono a capital,Nu,MILLONES DE PESOS,finanzas publicas,DAHM
v3_gp_000_43,pago de intereses de la deuda,Nu,MILLONES DE PESOS,finanzas publicas,DAHM
v3_gp_000_47,predios que pagan oportunamente el impuesto predial,Nu,%,finanzas publicas,DAHM
v3_gp_000_5,"recaudo transferencias de la nacion ley 715, sistema general de participaciones. alimentacion escolar",Nu,MILLONES DE PESOS,finanzas publicas,DAHM
v3_gp_000_6,"recaudo transferencias de la nacion ley 715, sistema general de participaciones. agua potable y saneamiento basico",Nu,MILLONES DE PESOS,finanzas publicas,DAHM
v3_gp_000_7,"recaudo transferencias de la nacion ley 715, sistema general de participaciones. atencion integral a la primera infancia",Nu,MILLONES DE PESOS,finanzas publicas,DAHM
v3_gp_000_8,ingresos totales,Nu,MILLONES DE PESOS,finanzas publicas,DAHM
v3_gp_000_9,ingresos corrientes,Nu,MILLONES DE PESOS,finanzas publicas,DAHM
v3_gp_006,inversion en cali,Nu,MILLONES DE PESOS,finanzas publicas,FUT-CGR
v3_gp_006_01,inversion sector agropecuario,Nu,%,finanzas publicas,FUT-CGR
v3_gp_006_02,participacion por sectores en la inversion total,Nu,%,finanzas publicas,FUT-CGR
v3_gp_006_03,participacion por sectores sector ambiental,Nu,%,finanzas publicas,FUT-CGR
v3_gp_006_04,participacion sector atencion a grupos vulnerables - promocion social,Nu,%,finanzas publicas,FUT-CGR
v3_gp_006_05,participacion sector centros de reclusion,Nu,%,finanzas publicas,FUT-CGR
v3_gp_006_06,participacion sector cultura,Nu,%,finanzas publicas,FUT-CGR
v3_gp_006_07,participacion sector deporte y recreacion,Nu,%,finanzas publicas,FUT-CGR
v3_gp_006_08,participacion sector desarrollo comunitario,Nu,%,finanzas publicas,FUT-CGR
v3_gp_006_09,participacion sector educacion,Nu,%,finanzas publicas,FUT-CGR
v3_gp_006_10,inversion sector agropecuario,Nu,MILLONES DE PESOS,finanzas publicas,FUT-CGR
v3_gp_006_11,participacion sector equipamiento,Nu,%,finanzas publicas,FUT-CGR
v3_gp_006_12,inversion agua potable y saneamiento basico (sin incluir proy.de vis),Nu,MILLONES DE PESOS,finanzas publicas,FUT-CGR
v3_gp_006_13,participacion sector fortalecimiento institucional,Nu,%,finanzas publicas,FUT-CGR
v3_gp_006_14,inversion sector ambiental,Nu,MILLONES DE PESOS,finanzas publicas,FUT-CGR
v3_gp_006_15,participacion sector gastos especificos de regalias y compensaciones,Nu,%,finanzas publicas,FUT-CGR
v3_gp_006_16,inversion sector atencion a grupos vulnerables - promocion social,Nu,MILLONES DE PESOS,finanzas publicas,FUT-CGR
v3_gp_006_17,participacion sector justicia y seguridad,Nu,%,finanzas publicas,FUT-CGR
v3_gp_006_18,inversion sector centros de reclusion,Nu,MILLONES DE PESOS,finanzas publicas,FUT-CGR
v3_gp_006_19,participacion sector prevencion y atencion de desastres,Nu,%,finanzas publicas,FUT-CGR
v3_gp_006_20,inversion sector cultura,Nu,MILLONES DE PESOS,finanzas publicas,FUT-CGR
v3_gp_006_21,participacion sector promocion del desarrollo,Nu,%,finanzas publicas,FUT-CGR
v3_gp_006_22,inversion sector deporte y recreacion,Nu,MILLONES DE PESOS,finanzas publicas,FUT-CGR
v3_gp_006_23,participacion sector salud,Nu,%,finanzas publicas,FUT-CGR
v3_gp_006_24,inversion sector desarrollo comunitario,Nu,MILLONES DE PESOS,finanzas publicas,FUT-CGR
v3_gp_006_25,participacion sector servicios publicos diferentes a acueducto alcantarillado y aseo (sin incluir proyectos de vis),Nu,%,finanzas publicas,FUT-CGR
v3_gp_006_26,inversion sector educacion,Nu,MILLONES DE PESOS,finanzas publicas,FUT-CGR
v3_gp_006_27,participacion sector transporte,Nu,%,finanzas publicas,FUT-CGR
v3_gp_006_28,inversion sector equipamiento,Nu,MILLONES DE PESOS,finanzas publicas,FUT-CGR
v3_gp_006_29,participacion sector vivienda,Nu,%,finanzas publicas,FUT-CGR
v3_gp_006_30,inversion sector fortalecimiento institucional,Nu,MILLONES DE PESOS,finanzas publicas,FUT-CGR
v3_gp_006_31,inversion sector gastos especificos de regalias y compensaciones,Nu,MILLONES DE PESOS,finanzas publicas,FUT-CGR
v3_gp_006_32,inversion sector justicia y seguridad,Nu,MILLONES DE PESOS,finanzas publicas,FUT-CGR
v3_gp_006_33,inversion sector prevencion y atencion de desastres,Nu,MILLONES DE PESOS,finanzas publicas,FUT-CGR
v3_gp_006_34,inversion sector promocion del desarrollo,Nu,MILLONES DE PESOS,finanzas publicas,FUT-CGR
v3_gp_006_35,inversion sector salud,Nu,MILLONES DE PESOS,finanzas publicas,FUT-CGR
